No.,チャプター名,トピック名,単語,読み方,意味,例文,関連漢字,注意,TICK
108,1章,人間,機嫌,Na,Na,母は私が遅れて来たので、機嫌が悪いです。,"洗濯機
嫌い・嫌だ。",Na,Na
109,1章,人間,様子,Na,Na,彼は疲れていたが、そんな様子は見せなかった。,田中様・多様化,Na,Na
110,1章,人間,清潔,Na,Na,清潔な衣服を着るようにしなければいけない。,Na,"~きれい
><不潔",Na
111,1章,人間,見かけ,Na,Na,見かけで判断するな。,Na,~外見,Na
112,1章,人間,派手,Na,Na,見かけが派手です。,Na,><地味,Na
113,1章,人間,地味,Na,Na,見かけが地味です。,Na,><派手,Na
114,1章,人間,シンプル,Na,Na,シンプルなシャツを着ます。,Na,Na,Na
115,1章,人間,対する,Na,Na,テロは人類に対する犯罪だ。,一対夫婦茶碗・一対一,Na,Na
116,1章,人間,感情,Na,Na,感情を顔に表す。,"感動
情報",Na,Na
117,1章,人間,行動,Na,Na,考えを行動に移す。,行く・オリンピックを行う・銀行・行事,Na,Na
118,1章,人間,うらやむ,Na,Na,彼は私の成功をうらやんだ。,→うらやましい,Na,Na
119,1章,人間,尊敬する,Na,Na,"お互いに尊敬の念を抱く。
彼は近所の人たち皆から尊敬されている。","尊い命（とうとい）
人を敬う。",Na,Na
120,1章,人間,敬う,Na,Na,目上の人を心から敬う。,敬語・人を敬う,Na,Na
121,1章,人間,疑う,Na,Na,"彼はその話が本当かどうか疑っている。
それについては疑う余裕がない。
私は自分の目を疑った。",疑う・本物であるかは疑問だ,Na,Na
122,1章,人間,恐れる,Na,Na,"失敗を恐れるな！
彼は死を恐れている。
彼は風邪を引くのを恐れて泳ぎに行こうとしなかった。",恐怖を感じる・恐れる・恐ろしい,Na,Na
123,1章,人間,憎む,Na,Na,"戦争を憎む。
彼は約束を破ったことで私を憎んでいる。",Na,～嫌う・嫌だ・恨む,Na
124,1章,人間,恨む,Na,Na,"なぜか分からないが、彼は私を恨んでいる。
恨むところは何もない。",Na,～憎む・恨む・嫌う,Na
